,Date,ID,url,username,source,location,tweet,num of likes,num of retweets
0,2022-12-17 23:46:34+00:00,1604261802715611137,https://twitter.com/HaraldV7/status/1604261802715611137,HaraldV7,Twitter for Android,,@MarcoBuschmann Die Straftaten machen die Politiker wie Sie @MarcoBuschmann  und nicht #LetzteGeneration . Wird Zeit das sie sich an das Pariser Abkommen und das Urteil vom Bundesgerichtshof halten.,0,0
1,2022-12-17 23:43:31+00:00,1604261035841568772,https://twitter.com/HeadSoccer_Main/status/1604261035841568772,HeadSoccer_Main,Twitter for Android,Unbekannt,"Bitte retweeten was das Zeug hält.
Oben die drei von der #LNG Tanke, die die Verfassung brechen.
Unten die Menschen die die Demokratie und unsere Lebensgrundlage schützen. 
#LetzteGeneration #20aGG https://t.co/KShMWcKYb4",12,8
2,2022-12-17 23:41:29+00:00,1604260523977183233,https://twitter.com/BunteRepDE/status/1604260523977183233,BunteRepDE,Twitter for iPhone,,#GrüneSekte + #LetzteGeneration https://t.co/ecaXzZ5WG2,8,1
3,2022-12-17 23:34:04+00:00,1604258660133240832,https://twitter.com/emojizedcom/status/1604258660133240832,emojizedcom,WP Plugin Dev Com,"Zurich, Switzerland","#Klimaaktivisten, #Klimakleber sind spinner!💻 Projekt #Narrativ ändern https://t.co/D6VdZrvRCN",0,0
4,2022-12-17 23:23:23+00:00,1604255971630538752,https://twitter.com/PaulMll06935330/status/1604255971630538752,PaulMll06935330,Twitter for Android,,"@ThatDataStuff @MDRAktuell Diese #LetzteGeneration nötigt Menschen,  bringt Flugzeuge in Zwangslagen, verspätet Rettungsdienste und bringt sogar Radfahrer zu Fall und sie wollen uns was von Gewaltphantasien erzählen und fordern vorauseilende Zensur?",2,0
5,2022-12-17 23:20:48+00:00,1604255318690516992,https://twitter.com/Ein_Trixi/status/1604255318690516992,Ein_Trixi,Twitter for Android,,"@watch_union @_FriedrichMerz Es ist für Herrn Merz ja auch akzeptabel, dass friedliche Bürger als RAF und Terroristen  bezeichnet werden und ohne Anklage/Urteil tagelang eingesperrt werden, weil sie Politiker auf ihr Versagen ansprechen. #LetzteGeneration",1,0
6,2022-12-17 23:07:25+00:00,1604251949758648320,https://twitter.com/DiegoDi86360938/status/1604251949758648320,DiegoDi86360938,Twitter Web App,,#GrueneSekte   #LetzteGeneration #RicardaLang  der Weg zum radikalen Ökofaschismus. https://t.co/s6oiveX4ev,7,0
7,2022-12-17 23:05:54+00:00,1604251567980412932,https://twitter.com/Nette_0870/status/1604251567980412932,Nette_0870,Twitter Web App,Deutschland,"@Michael47439567 @AufstandLastGen Die Rhetorik, wie #KlimaRAF oder die Gleichstellung mit #Reichsbürgern usw., trägt wesentlich dazu bei, dass die #LetzteGeneration als kriminell dargestellt werden, finden Sie nicht? Hausdurchsuchungen? Völlig unangebracht.",0,0
8,2022-12-17 22:50:36+00:00,1604247719001952256,https://twitter.com/dingendorf/status/1604247719001952256,dingendorf,Twitter for Android,"Montabaur, Deutschland","@Meikell56 Der Punkt ist doch, dass es so ist, es auch jeder weiß, der nicht komplett verblödet ist, aber trotzdem die meisten so weiter machen, als sei es nicht so und sich lieber geifernd an der #LetzteGeneration abarbeiten, als vernünftig und konsequent zu handeln. Traurig.",3,0
9,2022-12-17 22:49:19+00:00,1604247394924711936,https://twitter.com/provoziert/status/1604247394924711936,provoziert,Twitter Web App,Old Normal,"Wer sind die Geldgeber der #LetzteGeneration? 

Interessante Recherche

https://t.co/N7vrwKDGif",2,0
10,2022-12-17 22:46:33+00:00,1604246700134203393,https://twitter.com/xpeten/status/1604246700134203393,xpeten,Twitter Web App,"Düsseldorf, Germany","#LetzteGeneration ""Politische Ziele"" zu unterstellen, ist eine falsche Einordnung. Jeder, d. das denkt, oder nur wider besseren Wissens behauptet, wird irgendwann einsehen müssen, dass die auch ganz unpolitisch die Ärsche von #FDP-Klimakatastrophen-Ignoranten retten möchten.",1,0
11,2022-12-17 22:39:21+00:00,1604244887301505024,https://twitter.com/Schachtel19/status/1604244887301505024,Schachtel19,Twitter for Android,"Dresden, Sachsen","#LetzteGeneration 

Die die es heute schon betrifft, feiern sie. https://t.co/jR2DcQhbVZ",1,0
12,2022-12-17 22:38:46+00:00,1604244741318758402,https://twitter.com/Kranich631/status/1604244741318758402,Kranich631,Twitter Web App,,"@herbertEXgth @MarcoBuschmann Ich habe nicht gesagt, dass die
#LetzteGeneration gefährlich -IST-
sondern nicht als harmlos zu
bezeichnen ist. Wer mit gewaltfreiem Aktivismus Werbung 
macht &amp; sich anschließend 
gewaltsam Zutritt auf Flughafengelände verschafft, ist
nicht mehr als harmlos einzustufen!",0,0
13,2022-12-17 22:31:40+00:00,1604242954352304128,https://twitter.com/ozils/status/1604242954352304128,ozils,Twitter for iPhone,"Stuttgart, Hamburg, Germany",Voll Bock mich jetzt auf der Theo festzukleben bis der @fitzellurch mir Samples geschickt hat. #LetzteGeneration,3,0
14,2022-12-17 22:25:11+00:00,1604241322256334848,https://twitter.com/the_chosen__1__/status/1604241322256334848,the_chosen__1__,Twitter for iPhone,"Hessen, Deutschland","@faznet Stichwort: Was bewirken Drogen mit Horrorszenarien zusammen!
Das Resultat, siehe #LetzteGeneration!!!",4,1
15,2022-12-17 22:24:50+00:00,1604241236625608705,https://twitter.com/KarlOttoWingate/status/1604241236625608705,KarlOttoWingate,Twitter Web App,garlic garden,"@MAnon69900066 @WerteUnion Maassen der Rechtsextremist hat die #noafd beschützt den Abschaum der Gesellschaft mit seinem brunzdämlichen Hetzjagd Gelaber in Schutz genommen und hält heute die #Reichsbürger Terroristen für gefährlicher als die UHU Kleber von #lastgeneration.

Ein Depp wer ihn eingestellt hat",0,0
16,2022-12-17 22:17:57+00:00,1604239501659873280,https://twitter.com/Kranich631/status/1604239501659873280,Kranich631,Twitter Web App,,"@herbertEXgth @MarcoBuschmann Als harmlos, ist die
#LetzteGeneration jedenfalls nicht
mehr zu bezeichnen!",1,0
17,2022-12-17 22:15:07+00:00,1604238791010656257,https://twitter.com/emojizedcom/status/1604238791010656257,emojizedcom,WP Plugin Dev Com,"Zurich, Switzerland","#Klimaaktivisten, #Klimakleber sind spinner!💻 Projekt #Narrativ ändern https://t.co/nMuTmFdnf0",1,0
18,2022-12-17 22:05:07+00:00,1604236273211826176,https://twitter.com/emojizedcom/status/1604236273211826176,emojizedcom,WP Plugin Dev Com,"Zurich, Switzerland","#Klimaaktivisten, #Klimakleber sind spinner!💻 Projekt #Narrativ ändern https://t.co/m53CqqSVjd",0,0
19,2022-12-17 22:05:02+00:00,1604236251380547584,https://twitter.com/IndiCannArabica/status/1604236251380547584,IndiCannArabica,Twitter for Android,"München, Bayern","#Klimakleber verstärken das Kampfmittel mit ""Schweissnaht""... https://t.co/fGaMFRUzha",4,0
20,2022-12-17 22:03:14+00:00,1604235798525657089,https://twitter.com/IKraputnik/status/1604235798525657089,IKraputnik,Twitter Web App,shithole Schland / Schweiz,"@AufstandLastGen Eine ""Totale"", vulgo Weitwinkeleinstellung, wäre wohl peinlich geworden, oder? Wie kann es sein, daß eine Handvoll psychisch Alterierter, vulgo Irrer, hier den Diskurs treibt? Euch sollte man noch nicht einmal auslachen!
#Klimakleber #klimaathysterie #Klimawandel",10,0
21,2022-12-17 22:01:15+00:00,1604235299810603008,https://twitter.com/Agemo00/status/1604235299810603008,Agemo00,Twitter for Android,Mitten in Absurdistan,#LetzteGeneration https://t.co/MyGF3gX0ot,5,1
22,2022-12-17 21:49:04+00:00,1604232233413402626,https://twitter.com/emojizedcom/status/1604232233413402626,emojizedcom,WP Plugin Dev Com,"Zurich, Switzerland","#Klimaaktivisten, #Klimakleber sind spinner!💻 Projekt #Narrativ ändern https://t.co/XU4rvAMOxx",0,0
23,2022-12-17 21:45:56+00:00,1604231447392419842,https://twitter.com/MalaZimtig/status/1604231447392419842,MalaZimtig,Twitter for Android,,"@RealTadzioM Warum nervt die #LetzteGeneration dann nicht Kohlekonzerne und stört den Bau von LNG Terminals? 

Aber klar: Bei aller politischen Kritik bleibt die Solidarität gegen die völlig überschäumende Repression gegen die Gruppe.",0,0
24,2022-12-17 21:45:52+00:00,1604231430627803139,https://twitter.com/RonaiChaker/status/1604231430627803139,RonaiChaker,Twitter for iPad,,Kurzes Statement von mir zur  #LetzteGeneration https://t.co/EAIfUaky5g,47,5
25,2022-12-17 21:39:20+00:00,1604229785919623168,https://twitter.com/waste_sastre/status/1604229785919623168,waste_sastre,Twitter for Android,"Regensburg, Deutschland","#LetzteGeneration hat Haftgründe.
#DPolG fordert mehr Haftgründe.",3,0
26,2022-12-17 21:33:56+00:00,1604228425107050496,https://twitter.com/IchHabsSooSatt/status/1604228425107050496,IchHabsSooSatt,Twitter Web App,"Munich, Germany","@AufstandLastGen Was ich noch fragen wollte,
#AufstandLastGen #LetzteGeneration:
Was ist eure soziale Herkunft/Berufe der Eltern?
Wohnungseigentum? Welches, wie groß?
Garten? Swimmingpool, wieviele Autos?
Bildungsstand?
Eure eigenen Verhältnisse?
Wovon lebt ihr?
_",0,0
27,2022-12-17 21:21:18+00:00,1604225247825346561,https://twitter.com/StopAfd/status/1604225247825346561,StopAfd,Twitter Web App,Deutschland,"@MarcoBuschmann Es ist doch aber die Bundesregierung, die internationale Verträge (Pariser Klimaabkommen) und Gesetze (ihr eigenes Klimaschutzgesetz) bricht. Das wurde ihr sogar vom @BVerfG attestiert.

#LetzteGeneration macht das, was legitim ist: Auf den Mißstand aufmerksam!",2,0
28,2022-12-17 21:07:39+00:00,1604221809758556160,https://twitter.com/anti_prop/status/1604221809758556160,anti_prop,Twitter Web App,,"@derspiegel Da haben die Klimakleber endlich neue Festklebeobjekte! Also dieser Frakingmüll, der mit Schweröl über die Meere geschippert ist sicher nicht CO2 freundlich...
Na liebe #lastgeneration, wann klebt ihr endlich?",0,0
29,2022-12-17 21:01:05+00:00,1604220159073439745,https://twitter.com/emojizedcom/status/1604220159073439745,emojizedcom,WP Plugin Dev Com,"Zurich, Switzerland","#Klimaaktivisten, #Klimakleber sind spinner!💻 Projekt #Narrativ ändern https://t.co/W4fx3Yqdi1",0,0
30,2022-12-17 21:00:23+00:00,1604219984104001536,https://twitter.com/schon_gehort/status/1604219984104001536,schon_gehort,Twitter for iPad,,"4,5 Millionen Dollar für zivilen Ungehorsam: Wer finanziert die Klimaaktivisten? #letztegeneration #lastgeneration  https://t.co/4hopjaZF6A",0,0
31,2022-12-17 20:59:23+00:00,1604219732584206336,https://twitter.com/schon_gehort/status/1604219732584206336,schon_gehort,Twitter for iPad,,US-Stiftung finanziert „Letzte Generation“ mit - dahinter stecken wohl Öl-Erben. #lastgeneration #letztegeneration  https://t.co/8JWvoMGXrt,1,1
32,2022-12-17 20:57:38+00:00,1604219290781114369,https://twitter.com/elfriede_lg/status/1604219290781114369,elfriede_lg,Twitter for iPhone,,Es ist alles so falsch gerade. Und daher gibt es ein richtiges Kleben im Falschen #WirSindAlleDieLetzteGeneration #LetzteGeneration https://t.co/wyLksVkn8O,0,0
33,2022-12-17 20:54:35+00:00,1604218524750184449,https://twitter.com/ScientistRebel1/status/1604218524750184449,ScientistRebel1,Twitter for Android,,"Only 11 minutes later the same politician says #LastGeneration should be banned as their actions ""have nothing to do with peaceful public demonstrations....they are criminals"" and endanger the public peace in Germany.

We call out this dangerous shift of discourse! (3/3)",51,6
34,2022-12-17 20:54:34+00:00,1604218519276732417,https://twitter.com/ScientistRebel1/status/1604218519276732417,ScientistRebel1,Twitter for Android,,"What's up in Germany? A thread. 🧵

On Tuesday 11 activists from #LastGeneration @AufstandLastGen had their homes searched by the police with the argument that the peaceful civil resistance group is suspected to be a criminal organization. (1/3) https://t.co/brDTweAKWr",121,45
35,2022-12-17 20:33:33+00:00,1604213231777726465,https://twitter.com/iLArrabbiata/status/1604213231777726465,iLArrabbiata,Twitter for Android,"Berlin, Deutschland",#lastgeneration hat nach kurzer Zeit mehr Knasterfahrung als (radikale) Linke,11,1
36,2022-12-17 20:22:46+00:00,1604210516947132417,https://twitter.com/RolandGruner/status/1604210516947132417,RolandGruner,Twitter Web App,Neustadt an der Weinstrasse,"@seesternlilly ....""#LetzteGeneration kämpft hingegen friedlich dafür, auf Wissenschaft zu hören und Menschenleben zu retten!....""

Mit 
Nötigung
Sachbeschädigung
Körperverletzung
Gefährdung des Luftverkehrs
Sabotage an Infrastruktur
...
...
 
Terrorismus ist NICHT friedlich !!",0,0
37,2022-12-17 20:12:28+00:00,1604207923034406912,https://twitter.com/itsme1ka/status/1604207923034406912,itsme1ka,Twitter for Android,,"Ich heize meine gesamte Wohnung gerade auf 27 Grad! Wenn ich nicht darf, klebe ich mich am Heizkörper an! #zivilerungehorsam #Klimakleber  #scheisskälteerderwärmungjetzt",0,0
38,2022-12-17 20:06:46+00:00,1604206490679934977,https://twitter.com/SunnySynth/status/1604206490679934977,SunnySynth,Twitter for Android,Hamburg St.Pauli,"@RealTadzioM Was, wenn ich fragen darf, ist denn an der #LetzteGeneration so radikal? Die Aktionsform: gewaltfreien Widerstand (gewaltfreie Sitzblokaden, Glasscheiben vor Gemälden schmutzig machen...)
Die aktuelle  Forderungen: 9€ Ticket, Geschwindigkeitsbegrenzung auf Autobahnen...
?????",0,0
39,2022-12-17 20:04:37+00:00,1604205950239477765,https://twitter.com/Querbeet_Steve/status/1604205950239477765,Querbeet_Steve,Twitter for Android,"Braunschweig, Deutschland","https://t.co/kFuZEAegiB: Web-Sites als Umweltsünder.
https://t.co/7OxfON3Uw6…

Einfach Mal den Kopf einschalten... Aber ich als xennial ohne Facebook, und ohne Instagram und Kryptowährung mache alles kaputt mit meinem Erdgas Auto.
#FridaysForFuture #LetzteGeneration",0,0
40,2022-12-17 20:01:34+00:00,1604205182971019265,https://twitter.com/spiderwongel1/status/1604205182971019265,spiderwongel1,Twitter for iPhone,Schanze,Da haben wir die Schuldig*innen! #letzteDegeneration #LetzteGeneration #FridaysForFuture #Aquadom #aquarium https://t.co/MgMAkXoVvs,3,0
41,2022-12-17 19:58:10+00:00,1604204325005402113,https://twitter.com/Kranich631/status/1604204325005402113,Kranich631,Twitter Web App,,"@dare_dems Ehrlich jetzt: Ich glaube, das 
interessiert nicht wirklich viele
Menschen! Eine fleißige 
Generation, scheint die 
#LetzteGeneration sowieso nicht
zu sein, von daher, kann weg!",0,0
42,2022-12-17 19:57:05+00:00,1604204050865852416,https://twitter.com/emojizedcom/status/1604204050865852416,emojizedcom,WP Plugin Dev Com,"Zurich, Switzerland","#Klimaaktivisten, #Klimakleber sind spinner!💻 Projekt #Narrativ ändern https://t.co/LECW1N41GN",0,0
43,2022-12-17 19:45:53+00:00,1604201232956014595,https://twitter.com/Kranich631/status/1604201232956014595,Kranich631,Twitter Web App,,"@dare_dems Diese stinkfaule #LetzteGeneration 
soll mit ihren Händen arbeiten gehen, statt sie auf Asphalt zu kleben!",0,0
44,2022-12-17 19:42:06+00:00,1604200281364840448,https://twitter.com/buck_wolfgang/status/1604200281364840448,buck_wolfgang,Twitter Web App,"Pale Blue Dot, Room #237","Habt Ihr sie Euch so vorgestellt?
Die drei Reiter der Klima Apokalypse.

Ich fürchte da hilft auch Kartoffelbrei und Sekundenkleber nicht mehr.🤷‍♂️

Wir sind die #LetzteGeneration https://t.co/GMGO7o9nVR",3,1
45,2022-12-17 19:40:50+00:00,1604199961423495170,https://twitter.com/Kranich631/status/1604199961423495170,Kranich631,Twitter Web App,,"@r3lmarc3au #LetzteGeneration, ist eine faule 
Generation. Wenn der 
#LetztenGeneration ernsthaft daran
gelegen wäre, alles zutun,  um eine
Klimakatastrophe zu verhindern,
würde sie sich in die Hände spucken &amp; tatkräftig mitwirken,
statt sich auf Asphalt zu kleben!
Arbeit gibt es genug!",0,0
46,2022-12-17 19:37:31+00:00,1604199128950521856,https://twitter.com/numeric_blue/status/1604199128950521856,numeric_blue,Twitter for iPhone,,@MarcoBuschmann Von Verharmlosung der #LetzteGeneration durch den Bundesjustizminister halte ich nichts.,0,0
47,2022-12-17 19:34:53+00:00,1604198467920072704,https://twitter.com/drapiecha/status/1604198467920072704,drapiecha,Twitter for Android,,"Make Art Not War: Handcarved rubber stamps &amp; acrylic paint on paper 
#makeartnotwar #fckptn #нетвойны #lastgeneration #childdrawing #childwriting #humanrights #livinglifeinpeace #dragon #soldier #refugees #mediterraniansea #frontex #pushbacks #turningaway #hands #pickthemup https://t.co/JwDpL2sHdV",0,0
48,2022-12-17 19:33:25+00:00,1604198097361391616,https://twitter.com/worldcobaltday/status/1604198097361391616,worldcobaltday,Twitter Web App,,"@zeitonline #LetzteGeneration droht der finanzielle Ruin?
Hamburg, Bremen, Kiel droht der Untergang!

P.#Taalas #WMO:
""#Sealevel will rise by 30m""
H.#Wanless: 2060 +7m
H.#Winkler: 2050 +14m

#London, #Hamburg, Bremen, Rostock umsiedeln
#Niederlande evakuieren
Immobilien mit 5%/a abschreiben!",0,0
49,2022-12-17 19:24:47+00:00,1604195925978927104,https://twitter.com/DocEckl/status/1604195925978927104,DocEckl,Twitter for Android,"Bayern, Deutschland","@olewin Die Verweigerungshaltung der #FDP beim #Tempolimit gefährdet nicht bloß, sie kostet Menschenleben. Auf zivilen Ungehorsam der  #LastGeneration mit potentieller  Gefährdung von Menschenleben wird mit Präventivhaft und Hausdurchsuchungen reagiert.
So sieht echte Doppelmoral aus.",2,0
50,2022-12-17 19:22:21+00:00,1604195312469516288,https://twitter.com/ThiaCosmos/status/1604195312469516288,ThiaCosmos,Twitter for Android,"Bad Vilbel, Deutschland","Es gibt junge Menschen, die sich aktiv für den Klimaschutz einsetzen, was bewirken wollen. Und es gibt die 4 Idioten hinter meinem Garten, die laut gröllend Feuerwerkskörper losgehen lassen....
#LetzteGeneration #DieGruenen #LookUp #dummabergluecklich",0,0
51,2022-12-17 19:21:11+00:00,1604195019304443907,https://twitter.com/jancrode/status/1604195019304443907,jancrode,Twitter for iPhone,Hamburg - St. Pauli,"@SPIEGELTV jetzt auch im rechten. Narrativ angekommen. Nachdem #Lobo der #lastgeneration sektenähnliche Züge andichtet - dabei  ist es nur ziv. Widerstand, der auf die Einhaltung inter. Verträge und die Einhaltung von Gerichtsurteilen pocht! https://t.co/QRNKbWhR0c",1,0
52,2022-12-17 19:20:40+00:00,1604194886202273795,https://twitter.com/wertyXXXXXXXX/status/1604194886202273795,wertyXXXXXXXX,Twitter for Android,,@infoluencer Die #LetzteGeneration @AufstandLastGen ist schon heute so.,0,0
53,2022-12-17 19:14:39+00:00,1604193373941911553,https://twitter.com/UdoBose2/status/1604193373941911553,UdoBose2,Twitter for iPhone,,"@VQuaschning Gibt es auch schon Forderungen nach #RauchUndAlkoholverboten?
Das wäre doch ein Thema für ihre Freunde von #FFF und #LetzteGeneration und natürlich den #Gruenen #Umwelthilfe",0,0
54,2022-12-17 19:13:38+00:00,1604193116621361152,https://twitter.com/Kranich631/status/1604193116621361152,Kranich631,Twitter Web App,,"@nisfantastic Klimawandel, ist nix um sich auf
Asphalt zu kleben, sondern um in die Hände zu spucken &amp; sich beim Staat bewerben, wo fleißige Hände gebraucht werden, um in die Tat
umzusetzen, was nötig ist, um die
besagte Klimakatastrophe aufzuhalten! 
Die #LetzteGeneration ist stinkfaul!",2,0
